id	x	y	cluster	weight<Links>	weight<Total link strength>	label
19	0.4694	0.7524	1	30	84	ZL200520114675.5
20	0.1772	0.8506	1	30	84	ZL201220468489.1
21	-0.8349	-0.2872	4	30	84	ZL201420074554.1
22	-0.1139	-0.8611	3	30	84	ZL201420568492.X
23	0.3202	-0.8101	3	30	84	ZL200810102317.0
24	0.1815	-0.3839	3	30	264	ZL201410512888.7
25	0.5457	-0.689	3	30	84	ZL200710177404.8
26	0.4837	-0.4062	3	30	84	ZL201310740985.7
27	0.7496	-0.4563	3	30	84	ZL201410495382.X
28	0.0966	-0.792	3	30	84	ZL201410328251.2
29	-0.872	-0.0076	5	30	84	ZL200610011727.5
30	-0.831	0.2683	2	30	84	ZL201310049726.X
31	-0.4515	0.4129	6	30	84	ZL201310379473.2
32	-0.1527	0.5881	2	30	84	ZL201310379385.2
33	-0.7091	0.5288	2	30	84	ZL201310268913.7
34	0.7896	0.3463	1	30	84	ZL201410361120.4
35	-0.1631	-0.1567	7	30	84	ZL201010264672.5
36	-0.6747	-0.5587	2	30	84	ZL201310049861.4
37	-0.4741	0.7352	2	30	84	ZL201310746005.4
38	-0.4528	-0.7434	8	30	84	ZL201310704057.5
39	-0.5529	-0.283	2	30	84	ZL201310032257.0
40	0.6608	0.5591	1	30	84	ZL200510086976.6
41	0.529	-0.0056	1	30	84	ZL200510086977.0
42	0.8623	0.1092	1	30	84	ZL200910243732.2
43	0.8453	-0.1449	1	30	84	ZL201310700175.9
44	0.4024	0.2784	1	30	276	ZL201410374155.1
45	0.263	0.5722	1	30	84	ZL201210339564.9
46	-0.5476	0.0832	2	30	312	ZL201210340153.1
47	-0.2779	-0.5341	2	30	84	ZL201310745952.1
48	-0.1933	0.8497	9	30	84	ZL201310745099.3
49	-0.0747	0.1852	2	30	84	ZL201510182218.8
