id	x	y	cluster	weight<Links>	weight<Total link strength>
19	0.4694	0.7524	1	30	84
20	0.1772	0.8506	1	30	84
21	-0.8349	-0.2872	4	30	84
22	-0.1139	-0.8611	3	30	84
23	0.3202	-0.8101	3	30	84
24	0.1815	-0.3839	3	30	264
25	0.5457	-0.689	3	30	84
26	0.4837	-0.4062	3	30	84
27	0.7496	-0.4563	3	30	84
28	0.0966	-0.792	3	30	84
29	-0.872	-0.0076	5	30	84
30	-0.831	0.2683	2	30	84
31	-0.4515	0.4129	6	30	84
32	-0.1527	0.5881	2	30	84
33	-0.7091	0.5288	2	30	84
34	0.7896	0.3463	1	30	84
35	-0.1631	-0.1567	7	30	84
36	-0.6747	-0.5587	2	30	84
37	-0.4741	0.7352	2	30	84
38	-0.4528	-0.7434	8	30	84
39	-0.5529	-0.283	2	30	84
40	0.6608	0.5591	1	30	84
41	0.529	-0.0056	1	30	84
42	0.8623	0.1092	1	30	84
43	0.8453	-0.1449	1	30	84
44	0.4024	0.2784	1	30	276
45	0.263	0.5722	1	30	84
46	-0.5476	0.0832	2	30	312
47	-0.2779	-0.5341	2	30	84
48	-0.1933	0.8497	9	30	84
49	-0.0747	0.1852	2	30	84
