id	x	y	cluster	weight<Links>	weight<Total link strength>	label
1	0.0061	-0.6283	2	29	51	ZL200520114675.5
10	-1.0224	0.1073	1	27	45	ZL201410328251.2
11	0.161	0.0713	1	29	67	ZL200610011727.5
12	0.3978	-0.356	2	29	48	ZL201310049726.X
13	1.1513	-0.1248	3	30	50	ZL201310379473.2
14	1.9502	-0.1046	3	2	2	ZL201310379385.2
15	1.5379	-0.0466	3	24	25	ZL201310268913.7
16	0.3846	0.6791	1	27	42	ZL201410361120.4
17	-0.3207	-0.3188	1	29	67	ZL201010264672.5
18	-0.1849	0.0352	1	29	67	ZL201310049861.4
19	-0.2546	0.6556	1	29	70	ZL201310746005.4
2	0.172	-0.599	2	29	49	ZL201220468489.1
20	-0.0919	0.6235	1	29	69	ZL201310704057.5
21	-0.3945	0.5398	1	29	69	ZL201310032257.0
22	-0.7262	-0.6855	2	25	27	ZL200510086976.6
23	-0.5601	-0.7338	2	26	29	ZL200510086977.0
24	0.0066	-0.1195	1	29	67	ZL200910243732.2
25	-0.3914	-0.1173	1	29	67	ZL201310700175.9
26	0.424	0.379	1	28	44	ZL201410374155.1
27	0.3342	-0.4792	2	29	48	ZL201210339564.9
28	0.8924	0.1904	3	23	23	ZL201210340153.1
29	-0.1391	-0.3154	1	29	67	ZL201310745952.1
3	-0.1577	0.2957	1	29	67	ZL201420074554.1
30	0.0419	0.4921	1	29	68	ZL201310745099.3
31	0.433	-0.208	2	29	48	ZL201510182218.8
4	-0.4417	0.3424	1	29	68	ZL201420568492.X
5	0.1148	0.2683	1	29	67	ZL200810102317.0
6	-0.445	0.142	1	29	68	ZL201410512888.7
7	-0.9446	-0.1914	1	27	44	ZL200710177404.8
8	-0.9545	-0.0432	1	27	44	ZL201310740985.7
9	-0.9786	0.2498	1	27	45	ZL201410495382.X
