id	x	y	cluster	weight<Links>	weight<Total link strength>	label
1	-0.3282	0.6362	1	10	33	ZL200520114676.X
10	0.2097	0.6494	1	10	27	ZL201410373407.9
11	0.3167	-0.5376	2	10	36	ZL201410360312.3
2	0.6129	-0.1762	2	10	30	ZL200720187279.4
3	-0.782	-0.077	1	10	33	ZL200510086978.5
4	0.6538	0.3283	2	10	30	ZL200810102798.5
5	-0.2188	-0.661	1	10	33	ZL200810104763.5
6	1.0344	-0.0869	2	10	13	ZL201010603083.5
7	-0.6938	0.3688	1	10	25	ZL201010034104.6
8	-0.2129	0.038	1	10	33	ZL201210568417.9
9	-0.5919	-0.482	1	10	33	ZL201310058330.1
